T,A
3.22E-02,1.668926
3.22E-02,1.662942
3.23E-02,1.657792
0.0322876,1.649278
3.23E-02,1.637164
3.23E-02,1.626068
3.24E-02,1.62226
3.24E-02,1.621279
3.24E-02,1.615564
0.0324707,1.602779
3.25E-02,1.590037
3.25E-02,1.574776
3.26E-02,1.553644
3.26E-02,1.530122
3.26E-02,1.513371
3.27E-02,1.515976
3.27E-02,1.54808
3.27E-02,1.594513
3.27E-02,1.642099
3.28E-02,1.686363
0.0328064,1.725513
3.28E-02,1.756848
3.29E-02,1.784187
3.29E-02,1.810104
3.29E-02,1.827752
3.30E-02,1.838648
0.0329895,1.847967
3.30E-02,1.849153
3.31E-02,1.842257
3.31E-02,1.836014
3.31E-02,1.836861
